"","Store","Dept","Date","Temperature","Fuel_Price","CPI","Unemployment","IsHoliday","Weekly_Sales","Name"
"1",3,1,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,6453.58,"Candy and Tobacco"
"2",3,2,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,17566.72,"Health and Beauty Aids"
"3",3,3,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,4710.29,"Stationery"
"4",3,4,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,8495.1,"Paper Goods"
"5",3,5,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,15051.48,"Media and Gaming"
"6",3,6,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,2181.93,"Cameras and Supplies"
"7",3,7,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,8914.32,"Toys"
"8",3,8,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,9556.23,"Pet Supplies"
"9",3,9,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,4349.71,"Sporting Goods"
"10",3,10,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,11396.86,"Automotive"
"11",3,11,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,4893.73,"Hardware"
"12",3,12,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,2353.57,"Paint and Accessories"
"13",3,13,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,11747.06,"Household Chemicals"
"14",3,14,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,4615.67,"Kitchen and Dining"
"15",3,16,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,3701.57,"Outdoor Living"
"16",3,17,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,3163.43,"Home Decor"
"17",3,18,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,2201.25,"Seasonal"
"18",3,19,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,764.14,"Crafts and Fabric"
"19",3,20,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,1771.44,"Bath and Shower"
"20",3,21,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,1228.56,"Books and Magazines"
"21",3,22,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,4508.2,"Bedding"
"22",3,23,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,10280.8,"Menswear"
"23",3,24,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,2581.34,"Boyswear"
"24",3,25,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,4787.5,"Shoes"
"25",3,26,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,4652.78,"Infant Apparel"
"26",3,27,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,947,"Ladies Socks"
"27",3,28,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,176.25,"Hosiery"
"28",3,29,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,1968.94,"Sleepwear and Scrubs"
"29",3,30,2010-02-05,45.71,2.572,214.4248812,7.368,FALSE,1977.76,"Bras and Shapewear"
