"","Store","Dept","Date","Temperature","Fuel_Price","CPI","Unemployment","IsHoliday","Weekly_Sales","Name"
"1",1,1,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,24924.5,"Candy and Tobacco"
"2",1,2,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,50605.27,"Health and Beauty Aids"
"3",1,3,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,13740.12,"Stationery"
"4",1,4,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,39954.04,"Paper Goods"
"5",1,5,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,32229.38,"Media and Gaming"
"6",1,6,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,5749.03,"Cameras and Supplies"
"7",1,7,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,21084.08,"Toys"
"8",1,8,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,40129.01,"Pet Supplies"
"9",1,9,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,16930.99,"Sporting Goods"
"10",1,10,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,30721.5,"Automotive"
"11",1,11,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,24213.18,"Hardware"
"12",1,12,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,8449.54,"Paint and Accessories"
"13",1,13,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,41969.29,"Household Chemicals"
"14",1,14,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,19466.91,"Kitchen and Dining"
"15",1,16,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,10217.55,"Outdoor Living"
"16",1,17,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,13223.76,"Home Decor"
"17",1,18,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,4729.5,"Seasonal"
"18",1,19,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,1947.05,"Crafts and Fabric"
"19",1,20,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,5034.1,"Bath and Shower"
"20",1,21,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,8907.63,"Books and Magazines"
"21",1,22,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,13623.98,"Bedding"
"22",1,23,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,24146.49,"Menswear"
"23",1,24,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,8272.9,"Boyswear"
"24",1,25,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,11609.5,"Shoes"
"25",1,26,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,11737.12,"Infant Apparel"
"26",1,27,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,2293,"Ladies Socks"
"27",1,28,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,1085.29,"Hosiery"
"28",1,29,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,7024.95,"Sleepwear and Scrubs"
"29",1,30,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,5491,"Bras and Shapewear"
"30",1,31,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,3455.92,"Ladies Accessories"
"31",1,32,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,11875.84,"Jewelry"
"32",1,33,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,8589.77,"Girlswear"
"33",1,34,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,14350.83,"Ladieswear"
"34",1,35,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,2770,"Plus Size and Maternity"
"35",1,36,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,120,"Ladies Outerwear/Swimwear/Seasonal Apparel"
"36",1,37,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,3438.16,"Service Income (TLE)"
"37",1,38,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,115564.35,"Prescription Pharmacy"
"38",1,40,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,66780.63,"Pharmacy OTC"
"39",1,41,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,1011.83,"Team Sports Apparel"
"40",1,42,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,8366.71,"TLE Oil"
"41",1,44,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,4674.75,"Crafts (expanded)"
"42",1,45,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,37.44,"Sporting Goods (expanded)"
"43",1,46,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,20837.77,"Cosmetics"
"44",1,47,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,70,"?"
"45",1,48,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,814,"Firearms"
"46",1,49,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,11501.46,"Optical"
"47",1,51,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,1.16,"Fishing"
"48",1,52,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,3508.04,"Floral (artificial)"
"49",1,54,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,439,"?"
"50",1,55,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,21249.31,"Media and Gaming (expanded)"
"51",1,56,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,2567.36,"Live Plants and Flowers (Lawn and Garden)"
"52",1,58,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,7659.97,"Contract Wireless"
"53",1,59,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,1409.34,"Service Plans"
"54",1,60,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,1416.8,"Concept Stores and Stamps"
"55",1,67,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,8414.14,"Celebrations"
"56",1,71,2010-02-05,42.31,2.572,211.0963582,8.106,FALSE,5421.14,"Furniture"
